event_name,event_date,event_description,where,sponsors_schools,speakers,department_affiliation,faculty,collaboration,contact,notes,centers,themes,topics,event_type,hashtags,sheet,tag1,tag2,tag3,tag4,tag5
A Panel On Feminist Economics,"Mar. 14, 6-8:00 PM ",Work as Emancipation or Emancipation from Work?,"Hirshon Suite, RM 205 55 West 13th Street",,Julie Nelson,TNS International Affairs and TNS SCEPA,,,,,,,,,,Events,0,0,1,0,
Black Lives Matter 101,"PAST - April 25 to 29, 6-8 p.m.","As early as 1948, W.E.B. DuBois taught a university course in African-American history and culture at The New School.

Now, almost 70 years later, the New Black School, a Black graduate student group based at The New School, continues the tradition with Black Lives Matter 101, a public series of five “classes” examining Black social movements in the 21st century.  

Topics include the role of faith in advancing social movements, the relationship of the “new” civil rights movement to nascent social movements, the role of technology and new media in controlling and creating new narratives in justice movements, the global efforts to advance justice for Black people worldwide, and the critical need for more action in the realms of health and environmental justice.  

Each ""class"" features a panel of ""visiting scholars,"" experts, activists and a recommended reading list. In keeping with the New School's academic tradition, participants should come prepared to engage, challenge ideas, and commit to individual action. 

The classes will be viewable via The New School's Livestream page.",,,"WHO:

Mobilizing the African Diaspora

Nicholas Richards, Founder of ROHO and Former Assistant Pastor of The Abyssinian Baptist Church; Rosa Clemente, Hip Hop Activist, President and Founder of Know Thy Self Productions, and former 2008 Green Party VP Candidate; Lauryn Tamar Minter, Bilingual Political Scientist, Former Professor at The University of New Orleans; Carl Lipscombe (moderator), Policy and Legal Manager, BAJI 
Black Health and Environmental Justice

Ana Baptista (moderator), Interim Chair of Environmental Policy & Sustainability Management at Milano School of International Affairs and Associate Director at Tishman Environment and Design Center; Robert Cohen, Physician and NYC Board of Correction member; Cecil D. Corbin-Mark, Director of Policy Initiatives, WE ACT for Environnmental Justice; Dr. Aletha Maybank, Associate Commissioner of the NYC Dept. of Mental Health and Hygiene

Faith in America’s Social Movements

Carmen Dixon, Lead Organizer of Black Lives Matter, NYC Chapter; Darnell Moore, Senior Correspondent at The Mic; Minister Rashad Moore, The Abyssinian Baptist Church and Ph.D. student at Columbia University’s Teacher’s College; Imam Khalid Latif, Executive Director and Chaplain for the Islamic Center at NYU; Reverend Itang Young, Asstant Minister for Youth at The Abyssinian Baptist Church; Jeremy Scott Vinson (moderator), Religious Scholar at Union Theological Seminary 

Tech and New Media

Johnetta Elzie, Protester, Activist, Organizer and Co-Founder of Campaign Zero and We The Protestors; Jamilah Lemieux, Senior Editor, Ebony Magazine; Terrell J. Starr, Freelance Reporter; Damon Young, Editor-In-Chief of VerySmartBrothas; Chris Witherspoon (moderator), Entertainment Editor/reporter for theGrio.com, Entertainment Analyst for CNN

New Civil Rights Movement

Dr. Crystal deGregory, Founder and Executive Editor of HBCUstory, Inc; Charlene Carruthers, National Director of BYP 100; Anthony Ricco, Attorney; umi selah, Founder and Executive Director of Dream Defenders; Mychal Denzel Smith (moderator), Knobler Fellow at The Nation Institute

",,,,,,,,,,,Events,0,1,0,1,1
RACE AND THE ENVIRONMENT IN THE 21ST CENTURY,"Wednesday, October 26th from 6:30-9:00pm","Can people, place, and land relationships be reassembled to create environmental justice? Can digital equity affect environmental justice? These are a few of the questions that will be asked during the panel discussion on the 25th Anniversary of the adoption of the 17 Principles of Environmental Justice. The event will explore issues of race and the environment in the 21st century, featuring a discussion with our faculty as they explore the themes of the Principles and opportunities for achieving environmental justice across different social movements, practices, and disciplinary perspectives

Delegates to the First National People of Color Environmental Leadership Summit held on October 24-27 in 1991 in Washington D.C., drafted and adopted the 17 Principles. These Principles were created to build a national and international movement to fight the destruction and seizing of lands and communities and to secure political, economic, and cultural liberation denied for over 500 years of colonization and oppression. Since then, The Principles have served as a defining document for the grassroots movement for environmental justice.","Tishman Auditorium, 63 Fifth Avenue",,"Maya Wiley
Mia White
Mindy Fullilove
Ana Baptista
Michelle DePass",Milano,Maya Wiley Mia White Mindy Fullilove Ana Baptista Michelle DePass,,"Will Wilbur, The New School 
212.229.5667 x 3990 
wilburw@newschool.edu",,,,,,,Events,1,1,0,1,0
A New Global Agenda: Book Launch and Roundtable Discussion,"THURSDAY, MARCH 1, 2018 AT 6:00 PM","Calling all thought leaders and influencers driving international advocacy, policy, philanthropy, finance, entrepreneurship, media, and the arts!
Come celebrate the publication of A New Global Agenda: Priorities, Practices, and Pathways of the International Community, in which two dozen contributors from ten countries explore ways of navigating volatile times and breaking through to a more just, sustainable, and vibrant world. The evening will include a conversation led by author and New School fellow Diana Ayton-Shenker, followed by salon-style discussions inviting attendees to share their thoughts on catalyzing positive social impact.  
A book signing and networking opportunities for the invited professionals in these fields will conclude the event. 
Presented by The New School’s Zolberg Institute on Migration and Mobility, Studley Graduate Program in International Affairs, Impact Entrepreneurship Initiative, and Global Catalyst Senior Fellowship. 
","Theresa Lang Community and Student Center, Arnhold Hall55 West 13th Street, Room I-202, New York, NY 10011",,Conversation led by author and New School fellow Diana Ayton-Shenker,,"Contributors include The New School's Mary Watson, Alex Aleinikoff, and Michael Cohen.",,,This event is a part of The Nth Degree Series: Creative Minds Creating Change. ,Zolberg Institute on Migration and Mobility,,,,,Events,1,0,0,0,0
"Gender and its Discontents: An Occasional Public Lecture Series---Race, Gender and Sexuality - Governing for Inclusion, Panel Discussion","WEDNESDAY, MARCH 7, 2018 AT 4:00 PM to 5:50 PM","Presenters will address current research pertaining to the discontents of gender and sexuality. These lectures will vary in form, from panel discussions to co-presentations. The talks will feature New School faculty paired with an outside academic of their choice, while others will present an outside academic and a New School faculty respondent. - A reception will follow each talk ","Alvin Johnson/J.M. Kaplan Hall , 404
66 West 12th Street , New York, NY 10011","Schools of Public Engagement, The New School for Social Research, Eugene Lang College of Liberal Arts, Program in Gender and Sexuality Studies","Maya Wiley, Senior Vice President for Social Justice and Henry Cohen Professor of Urban Policy and Management
Jacqueline M. Ebanks, Executive Director of the New York City Commission on Gender Equity
Carmelyn P. Malalis, Chair/Commissioner of the New York City Commission on Human Right",The Gender and Sexuality Studies program,,,,,,,,,,Events,0,0,1,0,0
Gender and its Discontents: An Occasional Public Lecture Series--- Feminist and Queer interventions in Urban Sexual Economies,43201,"Presenters will address current research pertaining to the discontents of gender and sexuality. These lectures will vary in form, from panel discussions to co-presentations. The talks will feature New School faculty paired with an outside academic of their choice, while others will present an outside academic and a New School faculty respondent. - A reception will follow each talk ","Alvin Johnson/J.M. Kaplan Hall , 404
66 West 12th Street , New York, NY 10011","Schools of Public Engagement, The New School for Social Research, Eugene Lang College of Liberal Arts, Program in Gender and Sexuality Studies","Alison M. Gingeras, curator and writer
Amy Herzog, Associate Professor of Media Studies at Queens College and Coordinator of the Film Studies Program at the CUNY Graduate Center",The Gender and Sexuality Studies program,,,,,,,,,,Events,0,0,1,0,0
Gender and its Discontents: An Occasional Public Lecture Series--- Genealogies of Rape,43208,"Presenters will address current research pertaining to the discontents of gender and sexuality. These lectures will vary in form, from panel discussions to co-presentations. The talks will feature New School faculty paired with an outside academic of their choice, while others will present an outside academic and a New School faculty respondent. - A reception will follow each talk ","Alvin Johnson/J.M. Kaplan Hall , 404
66 West 12th Street , New York, NY 10011","Schools of Public Engagement, The New School for Social Research, Eugene Lang College of Liberal Arts, Program in Gender and Sexuality Studies","María Pía Lara, Universidad Autónoma Metropolitana, Mexico City teaches moral and political philosophy. She is a renowned and influential public intellectual and has published many articles on the subjects of critical theory, moral philosophy, and politics. She is the author of Narrating Evil: A Postmetaphysical Theory of Reflective Judgment and Moral Textures and the editor of Rethinking Evil.

Respondent:
Margot Bouman, Assistant Professor of Visual Culture, Parsons School of Design and Chiara Bottici, Associate Professor of Philosophy, NSSR and Eugene Lang College",The Gender and Sexuality Studies program,,,,,,,,,,Events,0,0,1,0,0
Gender and its Discontents: An Occasional Public Lecture Series-- Transgender Psychoanalysis as a New Discipline,43215,"Presenters will address current research pertaining to the discontents of gender and sexuality. These lectures will vary in form, from panel discussions to co-presentations. The talks will feature New School faculty paired with an outside academic of their choice, while others will present an outside academic and a New School faculty respondent. - A reception will follow each talk ","Alvin Johnson/J.M. Kaplan Hall , 404
66 West 12th Street , New York, NY 10011","Schools of Public Engagement, The New School for Social Research, Eugene Lang College of Liberal Arts, Program in Gender and Sexuality Studies","Patricia Gherovici, Ph.D. is a psychoanalyst and analytic supervisor.
She is co-founder and director of the Philadelphia Lacan Group and Associate Faculty, Psychoanalytic Studies Minor, University of Pennsylvania (PSYS)

Respondent: Aleksandra Wagner, Assistant Professor of Sociology, School for Public Engagement is a member of the editorial boards of The Psychoanalytic Review and Discourse of Sociological Practice.",The Gender and Sexuality Studies program,,,,,,,,,,Events,0,0,1,0,0
"Gender and its Discontents: An Occasional Public Lecture Series--- Designing Against Infrastructures of Harm

",43222,"Presenters will address current research pertaining to the discontents of gender and sexuality. These lectures will vary in form, from panel discussions to co-presentations. The talks will feature New School faculty paired with an outside academic of their choice, while others will present an outside academic and a New School faculty respondent. - A reception will follow each talk ","Alvin Johnson/J.M. Kaplan Hall , 404
66 West 12th Street , New York, NY 10011","Schools of Public Engagement, The New School for Social Research, Eugene Lang College of Liberal Arts, Program in Gender and Sexuality Studies","Co-presenters:
Shana Agid, Assistant Professor of Arts, Media, and Communication, Parsons School of Design
Paula C. Austin, Assistant Professor of History, California State University, Sacramento ",The Gender and Sexuality Studies program,,,,,,,,,,Events,0,0,1,0,0
"Spring MaP Colloquium: ""More than Fair: How Excessive Sympathy for Him (“Himpathy”) Obscures and Causes Misogyny""","THURSDAY, MARCH 1, 2018 AT 4:30 PM to 5:30 PM","



Abstract: 
According to my ameliorative definition, misogyny is, roughly, the “law enforcement” branch of patriarchy, which serves to police, enforce, or restore patriarchal social order—often by visiting hostility on girls and women for perceived violations of gendered norms and expectations. As well as complementary ideologies (most notably, sexism), there is also the flipside of misogyny which deserves to be considered: the exonerating narratives and excessive sympathy of which comparatively privileged men tend to be the beneficiaries. I call the latter ‘himpathy.’ 

This talk departs from the main example of himpathy I discuss in my recent book, Down Girl: The Logic of Misogyny: that of Brock Turner, the convicted sexual assailant and then student at Stanford University. (Turner’s trial became notorious when he received disproportionate and inappropriate sympathy over his female victim from multiple sources, including the judge who found him guilty.) But, as I will argue, this turns out to be only one variety of himpathy among many. Himpathy comprises a family of emotional biases that distort our moral thought and attention in ways that not only serve to obscure, but may even plausibly cause, damaging forms of misogyny—e.g., the hostility girls and women face when they try to testify against or seek justice vis-à-vis an antecedent recipient of himpathy for his misogynistic behavior, sexual violence, and so on. The talk will close by exploring some implications of this claim about moral/social psychology for the future of the #MeToo movement.

","Wolff Conference Room, Room D1103, Albert and Vera List Academic Center
6 East 16th Street, New York, NY 10003, Room D1103",The New School for Social Research,"Speaker: Dr. Kate Manne (Philosophy Department,Cornell University)",Organizers: Minorities and Philosophy,,,,,,"Humanity, Society, Social Justice",,,,Events,0,0,1,0,0
"Book Launch: #Charlottesville: Before and Beyond
","THURSDAY, MARCH 1, 2018 AT 7:00 PM to 9:00 PM
","Book Launch: #Charlottesville: Before and Beyond
Please join us for the launch of #Charlottesville: Before and Beyond (Public Seminar Books, 2018), a collection of essays from scholars and activists about the 
""Unite the Right"" rally in Charlottesville, VA, in August 2017

#Charlottesville: Before and Beyond, a project of Public Seminar Books, is the first book to emerge from, and critically respond to, the violence that took place in Charlottesville, VA, in August 2017, when white nationalists descended on the city to protest the removal of a Confederate monument in a public park near the University of Virginia. 

The violence that ensued —  four casualties, including the murder of counter-protester Heather Heyer — left the country bewildered, angry, and frightened about ascendant racism.

The essays in #Charlottesville: Before and Beyond attempt to answer questions that still plague us after the violence of August 2017. How much is the current president to blame for the sudden visibility of white supremacist groups? What are we to do with America’s tragic racial history and relics that commemorate the violence of slavery and the Civil War? Where can we turn as political conversation stalls around these important subjects? What lessons can we learn? What are our responsibilities as citizens?

Part one of the book documents and comments upon the immediate aftermath of the violence. The essays in part two, address the context, before and after the outbreak of violence. These essays reflect on the social, political and cultural landscape of the nation, the role of the media, and the logic of “punching Nazis in the face.”
","Wolff Conference Room, Room D1103, Albert and Vera List Academic Center
6 East 16th Street, New York, NY 10003, Room D1103
 Book Launch: #Charlottesville: Before and Beyond
","
Presented by The New School for Social Research.","Featuring readings from
Rev. Marcus McCullough, African Methodist Episcopal Church
Eric Anthamatten, The New School
Jeffrey C. Goldfarb, The New School",,,,,,,"Writing and Literature, Humanity, Society, Social Justice, Politics, Policy and Government, Intellectual Culture and Big Ideas","Politics, Social Justice, Race and Ethnicity",Author Readings and Discussions,,Events,1,1,0,0,0
"Speak-Ez: Hear The Voices of Experience
","TUESDAY, MARCH 6, 2018 AT 9:00 AM to 6:00 PM → more dates through March 16, 2018","
Speak-Ez: Hear The Voices of Experience
We are bombarded with shocking images of extreme weather and its devastating impacts. All life as well as what we build to protect ourselves is being uprooted, shattered. The already vulnerable are hit hardest. And we are being called on to respond to this new world.

How can we answer the call when we have cut ourselves off from fully ‘taking in’ this collective social-injustice and ecological challenge? How can we imagine what it is to have everything torn away from us by the very Elements we thought we had insulated ourselves from: fierce winds, torrential waters, mudslides, earthquakes, and raging, consuming fires.

Come experience on your own terms without crowds or observers the voices of those who have experienced Climate Disaster and Injustice in a place where you can Speak-EZ. 

","Parsons East Building, 2nd floor
25 East 13th Street, New York, NY 10003","Sponsors 
Tishman Environment & Design Center, The New School
School of Constructed Environments, Parsons School of Design","Voices
Hurricanes Irma & Maria: Luis Berrios-Negron, Puerto Rico
Hurricane Sandy: Wendy Brawer, Lower East Side, NYC
Hurricane Harvey: Alan Bruton, Houston, Texas

Installation Developers 
Jean Gardner, Associate Professor, School of Constructed Environments (SCE), Parsons
William Eatough, 4th year Dual Degree graduate student, Masters of Architecture & Lighting, SCE, Parsons
Gisbel Videla, 4th year Dual Degree graduate student, Masters of Architecture & Lighting, SCE, Parsons.

Sponsors 
Tishman Environment & Design Center, The New School
School of Constructed Environments, Parsons School of Design",,,,,,Tishman Environment and Design Center,"Humanity, Society, Social Justice, Environment, Sustainability and Climate Change, Politics, Policy and Government, Creativity and Innovation","Environmental Studies, History, Social Sciences, Social Justice, Natural Science, Video, Audio, and Web-based media, Climate Change",Exhibitions and Openings,https://events.newschool.edu/event/speak-ez_hear_the_voices_of_experience#.Wp5dwOg-cfE,Events,,,,,
Environmental Justice Field Trip,"FRIDAY, MARCH 2, 2018 AT 9:30 AM to 1:30 PM","Newark and Elizabeth, New Jersey
Environmental Justice Field Trip
Together with the Ironbound Community Corp's Environmental Justice Organizer and Environmental Policy and Sustainability Management Professor Ana Baptista will cover the environmental and industrial history of Newark's Ironbound neighborhood. The tour will review the social, political and environmental history of Newark's development with particular attention to the racial and ethnic dynamics of the city's changing demographics and landscape. The tour will take participants through the Seaports of Newark and Elizabeth (3rd largest seaport in the US) and discuss the health, environmental and economic impacts of global goods movement. In addition to a discussion of the environmental justice issues evident in the city, we will also cover the intersecting issues of immigrant rights, affordable housing and economic justice. We will see firsthand some of the active campaigns, projects and programs that ICC is undertaking with residents to address environmental justice, including stops at DownBottom Farm, Community Center, and Riverfront Park. ",,"Presented by The Milano School of International Affairs, Management and Urban Policy.",,,,,,,Center Tishman Environment and Design Center,"Environment, Sustainability and Climate Change","Environmental Studies, Social Justice, Climate Change",,,Events,1,0,0,1,0
"Documentary Screening - Berta Didn't Die, She Multiplied
","FRIDAY, MARCH 2, 2018 AT 6:30 PM to 9:00 PM","Documentary Screening - Berta Didn't Die, She Multiplied
This is the story of those who will not surrender in the fight to protect people and planet.

Join us for a documentary screening on the legacy of Berta Cáceres, a world-renowned indigenous leader whose defense of her people’s lands successfully pressured the world’s largest dam builder and the World Bank to pull out of the Agua Zarca Dam at the sacred Río Gualcarque. After winning the Goldman Environmental Prize in 2015, she was assassinated on March 2, 2016. 

The film features the work of COPINH -- a grassroots Lenca indigenous organization co-founded by Berta Cáceres and OFRANEH -- a grassroots Garífuna organization led by Miriam Miranda. These visionary sister organizations are leading the struggle in Honduras to defend land, food sovereignty, and indigenous rights from corporate greed and corrupt governments.

After the screening, there will be a discussion featuring:
Carla Garcia, the International Relations Coordinator of OFRANEH. 

The screening is free and open to the public. Food will be served.","Klein Conference Room, Room A510, Alvin Johnson/J.M. Kaplan Hall
Room 510, 66 West 12th Street, New York, NY 10011",,,"Schools of Public Engagement, Studley Graduate Program in International Affairs",,"Hosted by Projeto 111, Witness for Peace, and Co-Hosted by Somos OLA. ",http://www.facebook.com/events/2060724774156375,,Observatory on Latin America,"Hosted by Projeto 111, Witness for Peace, and Co-Hosted by Somos OLA. ","Global Studies and Migration, Social Justice, Documentaries, Climate Change",doc Screening ,,Events,1,0,0,1,1
Race and Capitalism: Michael Dawson and Nancy Fraser in Conversation,"WEDNESDAY, MARCH 7, 2018 AT 7:00 PM to 9:00 PM
Bob and Sheila Hoerle Lecture Hall, Room UL105, University Center
63 Fifth Avenue, New York, NY 10003
 Race and Capitalism: Michael Dawson and Nancy Fraser in Conversation
Please join the Heilbroner Center for Capitalism Studies and our colleagues at the University of Chicago's Center for the Study of Race, Politics, and Culture, for an upcoming debate between Michael Dawson (University of Chicago) and Nancy Fraser (The New School) on the relationship between Race and Capitalism. 

The conversation will center on two distinct themes, ""Black Politics and the Neoliberal Racial Order"" and ""Expropriation and Exploitation in Racialized Capitalism.""

The debate will be followed a meeting of graduate students interested in the Race and Capitalism Network. 

Presented by The New School's Heilbroner Center for Capitalism Studies and the University of Chicago's Center for the Study of Race, Politics, and Culture. 

Subscribe
Event Type
Lectures and Panel Discussions

Audience
General Public

Center
Robert L. Heilbroner Center for Capitalism Studies

Theme
Humanity, Society, Social Justice, Politics, Policy and Government, Intellectual Culture and Big Ideas, Race In The U.S.

School
The New School for Social Research

Topic
Economics, History, Politics, Sociology, Social Sciences, Social Justice, Race and Ethnicity",,,,,,,,,,,,,,,Events,0,1,0,0,0
"Expanded Sanctuary
","THURSDAY, MARCH 8, 2018 AT 6:00 PM to 8:00 PM
","Expanded Sanctuary is part of a series of events that explore the possibilities of sanctuary – as ideal, as theory, as practice, as historical proposition, as a vision of social justice for the present.

Expanded Sanctuary will focus on the intersections between sanctuary and diverse social movements working against racism, hetero/sexism, violence and containment. What are the connections between immigration detention, deportation, dispossession, gender-based violence, homophobic/transphobic violence and the carceral state? Does sanctuary offer a vision of politics that can encompass diverse struggles and provide a basis for cross-movement coalitions? How can spaces of solidarity with undocumented people also address the broader challenges of inequality in American cities which include police violence and mass incarceration? These questions are already being probed by activists on the ground. This event is an occasion to reflect, imagine and strategize in a dialogue between scholars and activists.
The discussion will continue with Transnational Sanctuary, a follow-up event on April 12.","Starr Foundation Hall, Room UL102, University Center
63 Fifth Avenue, New York, NY 10003","Co-sponsored by The New School's interdisciplinary programs in Global Studies, Urban Studies, and Environmental Studies, Department of Anthropology.
Eugene Lang College of Liberal Arts, The New School for Social Research, Department of Anthropology","Ravi Ragbir (New Sanctuary Coalition)
Janaé Bonsu (Black Youth Project 100)
Angy Rivera (NYS Youth Leadership Council)",,,"Black Youth Project 100, Make the Road New York, African Communities Together, North Star Fund, Enlace, New York State Youth Leadership Council, New Sanctuary Movement of Philadelphia, UNdocublack, New Sanctuary Coalition, DRUM

Facilitated by the Zolberg Institute Working Group on Expanding Sanctuary.",For more information visit: www.makesanctuary.org.,,"Center
Zolberg Institute on Migration and Mobility","Humanity, Society, Social Justice","Anthropology, Global Studies and Migration, Humanities, New York City, Social Justice",Lectures and Panel Discussions,,Events,0,0,0,1,0
"What Has Inequality Got to Do With It? Critical International Political Economy on Global Crisis, Interests, Identities, & Migration
","MONDAY, MARCH 12, 2018 AT 2:00 PM to 4:00 PM
","What Has Inequality Got to Do With It? Critical International Political Economy on Global Crisis, Interests, Identities, & Migration 
The Studley Graduate Program in International Affairs presents the Roundtable: 
What has Inequality Got to Do With It?
Critical International Political Economy on Global Crisis, Interests, Identities, & Migration","Orozco Room, Alvin Johnson/J.M. Kaplan Hall
66 West 12th Street, Room A712, New York, NY 10011
 ","Presented by The New School's Studley Graduate Program in International Affairs.
","Everita Silina, SGPIA, The New School 
Alan Cafruny, Hamiton College
Leila Simona Talani, Kings College London
Sheba Tejani, SGPIA, The New School ",,,,https://newschoolinternationalaffairs...,,,,"Global Studies and Migration, International Affairs and Development , Politics, Social Justice, Race and Ethnicity

",Lectures and Panel Discussions,,Events,1,0,0,0,0
Work as Emancipation or Emancipation from Work?,"WEDNESDAY, MARCH 14, 2018 AT 6:00 PM to 8:00 PM
","Work as Emancipation or Emancipation from Work?
The Studley Graduate Program in International Affairs presents a panel on feminist economics. 


Women’s economic empowerment has now become a buzzword both in international institutions and policymaking, with the SDGs making it a priority. Economists and policymakers have generally considered greater labor force participation as the primary channel through which such empowerment can be achieved. But is more work necessarily the answer? Considering that poor women from the South have always worked excessively long hours, that the nature of work itself is often degrading, exploitative and poorly paid, and that most women work a double day, is this emphasis on work as empowerment misplaced? Given the rapid rise of robotic and AI technologies that threaten future job creation particularly in exports, can we imagine alternative paths to economic empowerment that recognize women's 'invisible' labor? What role do a Universal Basic Income and other social protection schemes play in this regard? Is it possible to reimagine work as an aesthetic and creative category rather than simply a category of capitalist production? How can feminist economics contribute to this discussion? This panel will reflect on women and work from different perspectives and debate this issue through brief presentations and interaction.
","
",Presented by The New School's Studley Graduate Program in International Affairs,"Diane Elson, Professor Emerita of Sociology, University of Essex
Julie A. Nelson, Professor of Economics, University of Massachusetts, Boston
Shahra Razavi, Chief, Research and Data Section, UN Women
Marina Durano, Senior Programme Officer, Open Society Foundations
Moderator:
Sheba Tejani, Assistant Professor, Graduate Program in International Affairs, The New School","Schools of Public Engagement, Studley Graduate Program in International Affairs",,The Studley Graduate Program in International Affairs,"
",,,"Humanity, Society, Social Justice, International and Global, Politics, Policy and Government",Economics,"Lectures and Panel Discussions
",,Events,0,0,1,1,0
RACE AND THE ENVIRONMENT IN THE 21ST CENTURY,"
Wednesday, October 26th from 6:30-9:00pm","Panel Will Discuss the 25th Anniversary of the 17 Principles of Environmental Justice

Can people, place, and land relationships be reassembled to create environmental justice? Can digital equity affect environmental justice? These are a few of the questions that will be asked during the panel discussion on the 25th Anniversary of the adoption of the 17 Principles of Environmental Justice. The event will explore issues of race and the environment in the 21st century, featuring a discussion with our faculty as they explore the themes of the Principles and opportunities for achieving environmental justice across different social movements, practices, and disciplinary perspectives

Delegates to the First National People of Color Environmental Leadership Summit held on October 24-27 in 1991 in Washington D.C., drafted and adopted the 17 Principles. These Principles were created to build a national and international movement to fight the destruction and seizing of lands and communities and to secure political, economic, and cultural liberation denied for over 500 years of colonization and oppression. Since then, The Principles have served as a defining document for the grassroots movement for environmental justice.","at Tishman Auditorium, 63 Fifth Avenu",,"Maya Wiley
Mia White
Mindy Fullilove
Ana Baptista
Michelle DePass",,,,,,,,,,,Events,1,1,0,1,0
"RACE IN THE UNITED STATES: THE MOVEMENT FOR BLACK LIVES - UPRISING, RECLAMATION, INNOVATION   ","October 2, 2017 at 6:00PM",,"University Center
63 Fifth Avenue, New York, NY",,,,,,,,,,,,,Events,0,1,0,1,1
