external_center_name,university_affiliation,est,focus,mission,operational_structure_activities,differentiators,leadership_composition,team_structure,external_board,funding_model,partners_networks,lead,contact,link,sheet
"Center for Race, Gender, and Social Justice",University of Cincinatti College of Law,N/A,Education,"The center seeks to bridge theory and practices, forge relationships with local, national, and global communities, and prepare students to take the lead in advancing justice. ","Research, Education",*College of Law ,"Co-directors: Emily M.S. Houh, Kristin Kalsem, and Verna L. Williams ",3 co- directors supported by social justice fellows and the college of law,Emily M.S. Houh Kristin Kalsem Verna L. Williams,internal funds from the univeristy,N/A,N/A,lawrgsj@ucmail.uc.ed,https://www.law.uc.edu/institutes-centers/rgsj/mission-statement,External
"Center for Race, Philosophy, and Social Justice",Columbia University ,N/A,Afro- modern politic ,promotes normatively inflected social and political thought geared to thinking through the demands of racial justice ,"lecture series, workshops","*hosting lectures, inviting speakers",Director: Robert Gooding- Williams,"1 director, 7 faculty members",N/A,N/A,N/A but possibly Black Alumni Council,Robert Gooding- Williams,rg2944@columbia.edu,http://iraas.columbia.edu/faculty/core-faculty,External
Center for Research on Social Change ,"University of California, Berkeley ",1976,#NAME?,#NAME?,launches various research projects in partnership with faculty and other organizations ,"* research oriented
* training through fellowa program ","FACULTY CHAIR - Chris Zepeda-Millán, Ethnic Studies
ACADEMIC STAFF - Deborah Lustig, Academic Coordinator
-David Minkus, Research Associate","1 Chair 
2 Academic Staff
25+ Associated Faculty",N/A,n/a,N/A,"Chris Zepeda-Millán, Ethnic Studies","Center for Research on Social Change
Institute for the Study of Societal Issues
2420 Bowditch Street, MC 5670
University of California
Berkeley, CA  94720-5670
510.642.0813",https://crsc.berkeley.edu/,External
Center for Social Concerns,University of Notre Dame,1983,"provides community-based learning courses, community-based research, and service opportunities for students and faculty",To advance the common good through community-engaged teaching and research grounded in the Catholic social tradition,"*coordinates service- and community-based learning for thousands of students, supported community-based research by faculty and students that responds to community needs","faith and action, service and learning, research and resolve intersect","Rev. Paul Kollman, C.S.C.|  Executive Director (on sabbatical)
Rev. Kevin Sandberg, C.S.C., Ph.D. | Acting Executive Director
Connie Snyder Mick, Ph.D. | Associate Director
William Purcell, M.Div. | Associate Director
JP Shortall, M.A.| Associate Director
Mary Beckman, Ph.D. | Associate Director
Jay Brandenberger, Ph.D. | Associate Director
Rachel Tomas Morgan, M.A. | Associate Director","2 Exec Dir
6 Assoc Director
3 Faculty for Joint appointment
15+ various admin, research, adviors",N/A,N/A,"Domestic-
*happens through summer service programs
Community- 
98 partners organized by subjects Aging
Children / Youth / Teen Programs
Criminal Justice
Disabilities
Disability Programs
Disaster Relief
Domestic Violence
Education
Food And Sustainability
Health Care
Housing And Homelessness
Hunger Issues
Legal Services And Advocacy
Parish
Poverty
Women's Issues","Rev. Kevin Sandberg, C.S.C., Ph.D. | Acting Executive Directo","University of Notre Dame
Center for Social Concerns | Geddes Hall (Building #1212)
Notre Dame, IN 46556 | Phone (574) 631-5293 |",https://socialconcerns.nd.edu/,External
Center for Social Design,MICA- Maryland Institute College of Art ,N/A,"utilizes a human-centered and collaborative process to understand and define social problems, identify opportunities and generate ideas, and make tools that support positive change. ","to shift relationships between people and people, and people and institutions. Our process includes multiple interwoven phases: human centerd approach, collaborative approach, design driven approach",#NAME?,"*human, collaborative asn design driven approaches","1 Director - Mike Weikert
1 Co Director - Lee Davis","""core team"" 
-Thomas Gardner - Faculty
-Becky Slogeris - Assoc. Dir
-Smile Indias - Soc. Design Assoc

6 - ""Core Faculty"" 
14 - MA Visting Faculty
9 - Visiting Scholars ",N/A,n/a,"
Arts Every Day, Baltimore Campaign for Grade Level ReadingBaltimore City Health Department, Baltimore City Office of Sustainability, Baltimore City Public Schools, Baltimore VA Medical Center, Behavioral Health System Baltimore, Blue Water Baltimore, 30+",Meike Weikert,socialdesign@mica.edu,http://www.micasocialdesign.com/,External
Center for Social Development,Washington University in St. Louis,1991,"engagements in research and social innovation encompass seven primary areas: Financial Inclusion; Civic Engagement and Service; Thriving Communities; Child and Youth Development; Social Justice; Environment and Social Development; and Race, Inequality and Social Mobility.","to create and study innovations in policy and practices that enable individuals, families and communities to formulate and achieve life goals, and contribute to the economy and society. Through innovation, research and policy development, CSD makes intellectual and applied contributions in social development theory, evidence, community projects and public policy.",N/A,"*think tank, research model ","""Core Faculty""

​Michael Sherraden | CSD Founding Director
Shenyang Guo | CSD ​Research Director
​Michal Grinstein-Weiss | CSD Associate Director","Staff of 25

- Editors, Researchers, Felloews, Coordinators, Admin",,"Abt Associates
Annie E. Casey Foundation
Arthur Vining Davis Foundations​
​Atlantic Philanthropies
Bill & Melinda Gates Foundation
Consumer Financial Protection Bureau
Charles and Helen Schwab Foundation
Charles Stewart Mott Foundation
Citi Foundation 
Corporation for National and Community Service​
Danforth Foundation
Edwin Gould Foundation ​
Evelyn and Walter Haas Jr. Fund
Ewing Marion Kauffman Foundation
Fahs-Beck Fund for Research and Experimentation
Fannie Mae Foundation
(about 40 or more private and public funders)","George Warren Brown School of Social Work​
Washington University in St. Louis ​(WUSTL)
American Academy of Social Work and Social Welfare. 
Center for Social Development Asia
National University of Singapore
Centre for Social Development in Africa​ at University of Johannesburg. 
Next Age Institute​
National University of Singapore",Michael Sherraden | CSD Founding Director,,https://csd.wustl.edu/Pages/default.aspx,External
Center for Social Innovation,University of California,N/A,"Civic Engagement, Economic Mobility, Immigrant Intergration, Leadership, and Entrepreneurship ",Center for Social Innovation missio is to provide a credible research thats sparks civic leadership and policy innovation,"Research, Policy Innovation, Philantthropic Investments, ",,Karthick Ramakrishnan-Director Michelle G. Magalong-Associate Director Alton Wang-Assistant Director Cecilia Ayon-Director Loren Collingwood-Director of Cvic Engagment Francisco Pedraza-Director of Civic Engagement Group,N/A,N/A,N/A,N/A,Karthick Ramakrishnan,"(951) 827-5666
alton.wang@ucr.edu

Mailing Address

Center for Social Innovation
UCR School of Public Policy
900 University Avenue
Riverside, CA 92521",http://socialinnovation.ucr.edu/,External
Center for Social Innovation,Stanford Graduate School of Business,1999,supporting Stanford faculty in their pursuit of knowledge to educate insightful leaders for social and environmental change.,"to bring social and environmental change to the world. Through research, education, and experiential learning, we strengthen the capacity of individuals and organizations to develop innovative solutions to complex problems.",#NAME?,*has an innovation center to support faculty as well,"Neil Malhotra
Louise and Claude Rosenberg Jr. Co-Director of the Center for Social Innovation
Professor of Political Economy",60 faculty,N/A,N/A,N/A,Neil Malhorta,"gsb_csimailbox@stanford.edu
Center for Social Innovation
Stanford Graduate School of Business
665 Knight Way
Stanford, CA 94305
USA",https://www.gsb.stanford.edu/faculty-research/centers-initiatives/csi,External
Center for Social Innovation and Enterprise,University of New Hampshire,N/A,Social Innovation ,"The centers mission is to engage the community in social innovation, business, and public policy. ",Research,*Enterprise and business,"Fiona Wilson-Excutive Director 
William Maddocks- Initiative Director ","Faina Bukher- Program Manager 
Cathy Meyer- Promotions Assistant",#NAME?,Partners and Sponsors,"Peter T. Paul College of Business and Economics
Carsey School of Public Polic
NH EPSCoR.
Center for International Education
Social Franchise Initiative
Net Impact UNH, 
Student Environmental Action Coalition (SEAC), 
Oxfam UNH, Slow Food UNH
Trash 2 Treasure.
New Hampshire Businesses for Social Responsibility
Timberland
New Hampshire Charitable Foundation
PixelMEDIA
Alpha Loft
New Hampshire Business Review
CCA Global Partners
City of Manchester, Public Health Department
Coastal Enterprise, Inc. (CEI)
College for Social Innovation
Coca-Cola Bottling Company of Northern New England
Community Development Finance Authority (CDFA)
Dare Mighty Things
and many more ","Fiona Wilson
Center for Social Innovation and Enterprise Executive Director","The University of New Hampshire
Durham, NH 03824
(603) 862-1234",https://www.unh.edu/social-innovation/ssfi,External
CENTER FOR SOCIAL INNOVATION AND IMPACT (CSII),Rady School of Management - University of California San Diego,N/A,"promotes the development and adoption of tools and practices that have been traditionally considered unsuitable to the domain of social change. In doing so, we consider the entire scope of stakeholders—the communities being helped, social entrepreneurs, investors, funding agencies, research institutes and more. Student engagement, faculty research and cross-discipline collaborations across campus and beyond facilitate our goal—having a meaningful impact on individuals and society.","approach to social impact builds on the following principles:

-Understanding of the Problem
- Data-Driven Solutions
- Unified Impact Assessment","There are:
- Social Innovation Fellows
- BOARD FELLOWS
- SOCIAL ENTREPRENEUR IN RESIDENCE
-The Social Venture Accelerator ",combination of rigorous business thinking and entrepreneurial spirit to address the big issues and big challenges our society is facing,,,,"Carol Lazier and Family, whose $1 Million endowment","SVP San Diego
Project Concern International
MOXIE FONDATION
Rady Leading with Service
Consulate General of Israel LA",, radyrole-csii@ucsd.edu.,http://rady.ucsd.edu/centers/ciid/,External
Center for Social Justice and Civic Engagement,Holy Names University,N/A,"Personal and social awareness, activism, socially responsible leadership, service and community engagement",Enrich the understanding of social issues through personal exploration and socially responsible leadership in an effort to create a culture of service at the University and within the local and global community,,,,,,,,,,http://www.hnu.edu/csjce,External
Center for Social Justice Education,University of Southern Indiana College of Liberal Arts,2009,"Education, research, and service","foster advocacy for social justice empowerment through education, research and collaboration",*Research,"*Performing research on Community awareness, social and economic injustice",Director: Dr. Wendy Turner,,N/A,N/A,N/A,N/A,,https://www.usi.edu/liberal-arts/social-justice-center,External
"Center for Social Justice Research, Teaching, and Service",Georgetown University,N/A,"activism, advocacy, service, and volunteerism",to act as a catalyst for the infusion of social justice into the breadth of life of Georgetown,Community Service,"*attending meetings within the communty, collaborating, and networking",Director: Jessica Lee Assistant Director: Whitney Maddox Assistant Director: Gina Bulet,several directors and assistant directors from the different partners and their staff,N/A,both internal and external funds from Georgetown University and the local community involvment groups and churches around,"Nalle Elementary School, DC Public Schools, Georgetown Ministry Center, Latin American Youth Center, Department of Youth Rehabilitation Services's Youth Link, Office of Campus Ministry",N/A,csj@georgetown.edu,https://csj.georgetown.edu/staff,External
Center for Sustainable Global Enterprise,Cornell,2003,Business Education,"a world-class academic institution producing and disseminating relevant knowledge for managers seeking innovative, profitable business opportunities which address global sustainability challenges and help transform the impacts of private enterprise on the world.","Education, Research",,"Director: Mark Milstein, PhD UNC
Associate Director: Monica Touesnard, MBA UNC","Director, AD, Professors, Coordinator. Faculty and Professional Affiliates","Advisory Council
10 members
CEO, Presidents, Chairmen, CoFounders",Founding donation; corporate sponsorships,"Johnson & Johnson, Atkinson Center for a Sustainable Future for research funding",Mark Milstein,mm462@cornell.edu,https://www.johnson.cornell.edu/Center-for-Sustainable-Global-Enterprise,External
Center for the Globalization of Education and Management,NYU,2015,"Education, Management",Aims to house the academic world’s most comprehensive base of knowledge on interactions that take place between countries and their implications for education and management.,Research,,"Director: Pankaj Ghemawat
Executive Director: Steven A. Altman
Associate research Scholar: Phillip Bastian
Visiting Professor: Alejandro Ruelas-Gossi","Director, ED, and scholar support",N/A,N/A,N/A,Pankaj Ghemawat,cgem@stern.nyu.edu,http://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/centers-of-research/center-globalization-education-management,External
Center for the Study of Social Movements,University of Notre Dame,N/A,"Education, Society","Its goal is to advance the systematic, scholarly, and scientific study of the phenomena, and to provide a forum for the discussion of methodologies, theories, and conceptual approaches acoss the disciplines of sociology, political science, social physiology, and anthropology.","Blogs, Workshops","*publishing blogs, coordinating workshops",Director: Rory McVeigh Organizer: Kraig Beyerlein Website Editor: Bryant Crubaugh and Kevin Estep,"1 director, 1 organizer, 2 website editors, faculty, and graduate students",N/A,N/A,N/A,Rory McVeigh,rmcveigh@nd.edu kbeyerl1@nd.edu bcrubaug@nd.edu kestep@nd.edu,https://cssm.nd.edu/about/,External
Center for the Study of Women,UCLA ,1984,"research on women, sexuality, gender and women's issues","The UCLA Center for the Study of Women is an internationally recognized center for research on gender, sexuality, and women’s issues and the first organized research unit of its kind in the University of California system. Though CSW is funded by the Division of Social Sciences, it serves the entire university.","The center conducts: research projects, engages in community building, events, publications as well as issues awards and grants.",*completely dedicated to the study women's issues ,"Rachel C. Lee - Director
Sarah Haley - Associate Director
","Director
Assoc. Dir
Sen. Faculty Research Assoc.
CSW Advisory Committee Chair
3 more admin staff
2 adjunct profs
3 grad student researchers
4 undergrad assistants",40+ professors and professionals,"defines the various ways they grant funding, but not how they are funded ",N/A,Rachel Lee,"Main Office: (310) 825-0590
Main E-mail: csw@csw.ucla.edu",https://csw.ucla.edu/publications/womens-social-movement-activities-in-los-angeles/,External
Centre for the Study of Social and Political Movements ,University of Kent,1992,#NAME?,"bring together work on a variety of contemporary forms of social and political movements and collective action, with some emphasis upon environmental movements.",#NAME?,"*social and political movements and collective action, with some emphasis upon environmental movements",N/A,"5 Professors/Lecturers
1 Research Associate","External associates
Dieter Rucht (Science Centre Berlin [WZB])
Mario Diani (Universtá di Trento);
Eugene Nulman (Birmingham City University)
Matthew Ogilvie (Canterbury Christ Church University)
Clare Saunders (University of Exeter)
Nikos Sotirakopoulos (Loughborough University)",N/A,"Social Science Research Centre in Berlin (WZB), the Centre d'Etude des Mouvements Sociaux in Paris , and through active participation in the European Consortium for Political Research and the Research Committees of the ISA and ESA.",Professor Christopher Rootes (maybe),"
Centre for the Study of Social and Political Movements,
School of Social Policy, Sociology and Social Research
Cornwallis Building
University of Kent,
Canterbury, 
Kent CT2 7NF
Telephone: 01227 823374
Fax: 01227 824014 
Email: C.A.Rootes@kent.ac.uk",https://www.kent.ac.uk/sspssr/research/centres/socpolmovement/index.html,External
Community Research Center,Grand Valley State University,1992,"guide nonprofits, foundations, institutions, and neighborhood groups in using data to do good. With customized tools and research services designed for your needs, we can help you collect and interpret national and local data. Working with our partners, we share this original research for use in awareness building, local and regional decision making, program evaluation, and more.","university-based center leading a systems-based, comprehensive approach to serving nonprofits, foundations, and others seeking to transform their communities for the public good. We envision highly valued, effective philanthropy, equipped with expanded knowledge and resources to advance the public good and transform communities.","professional development services, courses and trainings, philanthropic tools, and more, support:
-Effective Philanthropy: Helping donors and foundations adopt best practices in their careers and organizations
-Strong Nonprofits: Helping nonprofit organizations strengthen their teams, tools, and thinking for better impact
-Informed Community Change: Guiding nonprofits, foundations, institutions, and neighborhood groups in using data to do good",*they provide data support and collections expertise,"Kyle Caldwell M.A. | Executive Director
Matthew Downey | Program Director
Beverly Grant | Associate Director
Teri Behrens | Dir of Institute for F&D L
Tory Martin | Dir of Comms and Engagement","Staff of 30 
Philanthropy Assistant
Project Coordinator
Research Fellow
Unit Coordinator
Finance Manager
Senior Research Fellow
Research Scholar
Program Manager
Senior Database Administrator
Web Developer",N/A,"Kellogg Foundation
Frey Foundation","Council of Michigan Foundations
Michigan Community Service Commission
Michigan Nonprofit Association",Kyle Caldwell,"Dorothy A. Johnson Center for Philanthropy
201 Front Ave. SW
Grand Rapids, Michigan 49504

Phone: 616-331-7585
Email: jcp@gvsu.edu",http://johnsoncenter.org/event/bbll092816/,External
Confluence Center for Creative Inquiry ,Univ. of Arizona,2010,"provides a physical and intellectual home for the arts, humanities, and social sciences. We endeavor to nurture interdisciplinary synergies across campus communities to promote the development of a dynamic intellectual environment.","The Confluencenter for Creative Inquiry serves as a campus-wide research institute dedicated to innovative inquiry across all disciplines. Confluencenter’s programming demonstrates a commitment to the artistic and scholarly endeavors of faculty and students in the colleges of Fine Arts, Humanities and Social and Behavioral Sciences. ","The Innovation Farm program was designed 1) to encourage networks of interdisciplinary scholars as “working groups” and 2) to support innovative projects that enhance scholarly and artistic life at the University of Arizona. 

Working groups include faculty from the colleges of Fine Arts, Humanities, Social and Behavioral Sciences, and other colleagues from both the university and the community.","*fine arts, humanities","
Javier Duran | Director ","Emma Buck | Events Coordinator
Margaret Preston Madriz | Administrative Assistant Andrea Garcia Brown | Undergraduate Student Riccy Partida | Undergraduate Student
Yunde Qian | Undergraduate Student","Anne H. Betteridge 
Jackson Boelts 
Bryan Carter
Sonia Colina
Ken S. McAllister 
Teresa Moreno 
Alfred J. Quiroz","Confluence Circle members
Ken McAllister
Bill and JoAnna Westcott


also gives out funding for various projects through n application process",N/A,Javier Duran | Director,"(520) 621-5137 
CoNFluencenter@email.arizona.edu
The University of Arizona 
Confluencenter for Creative Inquiry
 P.O. Box 210302
Tucson, AZ 
85721-0302",https://confluencenter.arizona.edu/,External
Creative Destruction Lab @ NYU,NYU,2018,"Entrepreneurship, business","CDL-NYC is a nine month program for science- and technology-based, massively scalable, startups. The program seeks to maximize the probability of startup success by providing ventures intensive mentorship, access to investors, and execution support.",Venture development,,N/A,N/A,N/A,N/A,University of Toronto’s Rotman School of Management,,dhegde@stern.nyu.edu,http://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/centers/creative-destruction-lab-nyc,External
Cross Cutting Initiative,Columbia,N/A but at least 2006,Sustainability,The Cross-Cutting Initiative (CCI) aims to facilitate studies of complex problems in the field of sustainable development that require bridging disciplines. The CCI strives to achieve new insights into intrinsically cross-disciplinary problems and to enable solution-oriented outcomes.,"Research, Policy, Education",Offer seed grants to Columbia students,"Peter Schlosser, CCI director ",N/A,"Steering Committee (14)
Peter Schlosser, Chair
Steven A. Cohen, Ex Officio
with 12 others leading each sector",N/A,Depends on who seed grants are given to,Peter Schlosser,schlosser@ldeo.columbia.edu,http://www.earth.columbia.edu/articles/view/61,External
Doerr Center for Social Justice,Saint Louis University,1996,promotes long- range solutions to social problems through education and research,Enlighten students of social problems,"Research, Education",hosting annual events. inviting keynote speakers,Director: Dr. Don Linhorst  Professors: Dr. Marla Berg- Weger and Dr. Susan Tebb Assistant Professors: Dr. Jesse Helton and Dr. Monica Matthieu,"1 Director, 2 Professors, 2 Assitant Professors",N/A,independently funded,N/A,N/A,"Saint Louis University 1 N. Grand Blvd. St. Louis, MO 63103 USA 1-800-758-3678",https://www.slu.edu/public-health-social-justice/reserch/centers_institutes/center_doerr.php,External
