center_lab_name,subject,purpose_summary_statements,location,school,faculty,staff_structure,students,notes,sponsors,partners,contact,websites,sheet
E-Lab,"Art, Design, and Theory","The Parsons Elab is a non profit incubator that adopts a distributed network model, drawing its principles from the Parsons Design Thinking methodology and has at its heart social entrepreneurship. 
A DISTRIBUTED MODEL - A system where value is co-created and exchanged in a distributed way by a network of participants
; Networked business models
; Value exchange networks
; Collaborative consumption
; P2P services
; Bottom up values exchange
; Sharing economy
; User generated content


THE PARSONS DESIGN THINKING 
METHODOLOGY
 - A discipline that uses a designer’s sensibility and methods to match people’s need with what is technologically feasible and what a viable business strategy can convert into customer value and market opportunity. The Parsons process is centered on the basic principles of design thinking which embraces questioning, reflection and synthesis at each step.

SOCIAL ENTREPRENEURSHIP - 
We aim to identify and solve social problems on a large scale.
We, the driven community of changemakers, we want to act as the change agents for society, in order to improve systems, reinvent experiences, transform approaches and solve social problem in a sustainable way.

Elab’s aim is to support and strengthen our design student’s evolution from academic to entrepreneur through extra-curricular opportunities and mentorship around design thinking and business strategies for startups and upon graduation by connecting them to the greater NY design, startup, business and tech communities. Through a series of program offerings designed in increments along the student’s journey to entrepreneurship, the Elab offers students and alumni opportunities to connect, collaborate and become the changemakers of tomorrow.

Our Vision - Empowering our future generation of changemakers by supporting their social entrepreneurial ventures and connecting our greater community around leading positive change.
Our Mission - Provide opportunities for social entrepreneurship experiences for our community of changemakers from student to recent alumni to long term alum by offering support for student who seek to be entrepreneurs more exposure to the demands of entrepreneurship, to our recent alumni startup businesses many of which originate in our programs and to long term alumni who wish to connect and give back.",,Parsons School of Design ,"Rhea Alexander - founder and director the Entrepreneurial Lab, Co-Director of the MS In Strategic Design and Management program and an Assist. Professor in Strategic Design and Management
Gokce Gizer - part-time faculty in the MS SDM program.
Lissa Fedrizzi
Harold Padilla Villa - Design Strategist 
","Rhea Alexander - founder and director the Entrepreneurial Lab, Co-Director of the MS In Strategic Design and Management program and an Assist. Professor in Strategic Design and Management
Gokce Gizer - part-time faculty in the MS SDM program.
Lissa Fedrizzi
Harold Padilla Villa - Design Strategist 
Amarie Baker-  student of Parsons and she aims to help the Fellows of the Elab 
Vanya Mittal, Strategic Design and Management MS

2018 Mentors
Laurie Wilson - President & CEO LW Associates
Lisa Hardgrove - Innovation Strategist
Santiago Castillo - Design Strategist SCHEMA Strategy
Christopher Henry - CTO/OPUS 
Kay Unger - Founder & CEO  of Kay Unger Design
Charles Wagner - Sales & Management Consultant
Adelaide Polk-Bauman - Marketing & Branding Consultant
Shiri Karasikov - Business Dev & Strategy Xcel Brands, Inc.
Rhea Alexander - Co-Director, MS SDM, Parsons Founder, Elab Founder, Digs.com
Ian Spangler - Co-founder The IF List
Sean Dillon - Co-founder, CEO The Cyentist
Erin Cho - Ast. Prof. SDM, Parsons Founder, Emotion Engineering Creatives
Shawn Nelson - Founder LoveSac
Elisabeth Enck - Director of Strategy, we are Experience
Jeongki Lim - Ast. Prof. SDM, Parsons, Founder, Stella","Amarie Baker-  student of Parsons and she aims to help the Fellows of the Elab 
Vanya Mittal, Strategic Design and Management MS","2018 Fellowships ELab 12 Month Incubation Fellowship 
Program
Crowdtips - Hasin Ahmed and Ibrahim Dawha - platform that gathers market data directly from consumers regarding their consumption behavior, preferences and interests

MEDIAxWOMEN is a diverse, inclusive and global community.  MxW creates a climate of possibility through the experiences of content, connections, collaborations, and events for women in media industries.  Through its platform, MxW promotes awareness, eduction and inspiration for women in media.
PMD Alliance -Sarah Jones - provides opportunities for people impacted by Parkinson’s and other disorders to learn, live life fully, and connected.  PMD is a nonprofit that reaches across communities and partners with physician to provide eduction, care partner retreats, web talks and support group leader training.
Threadcycle - Angela Bronza and Chloe Guss - Threadcycle’s mission is to collect and recycle textile waste from garment manufacturers in order to reduce landfill use and energy waste and to preserve valuable raw materials. Using collected fabric scarps, Threadcycle breaks down the materials through paralysis to create Biochar which can be sold and used for filtration, fertilization and stimulation of agricultural growth.

Pulmpmade - Tim Ronco and Joonas Kyöstilä - Pulpmade takes boring children’s products and redesigns them into exciting tangible objects that engage creativity.  Pulpmade’s first produce is the Posse Stool, a functional stool made of recycled paper that also works as an open-ended canvas for children to draw, decorate and express themselves.

Setle - Daniel Cerevanka - Setle is a digital asset transfer and payment platform, which removes the friction from the process of constructing a working agreement, sending files, reviewing them, and concluding the transaction with a payment.
Threadcycle - Angela Bronza and Chloe Guss - Threadcycle’s mission is to collect and recycle textile waste from garment manufacturers in order to reduce landfill use and energy waste and to preserve valuable raw materials. Using collected fabric scarps, Threadcycle breaks down the materials through paralysis to create Biochar which can be sold and used for filtration, fertilization and stimulation of agricultural growth.

Unfold - Alfie Cobo - Unfold is currently priced at $0.99, and offers an ad-free and in-app-purchase-free experience for users interested in digital storytelling.  Unfold lets you stand out from the crowd to create beautiful and minimal-looking stories using easy-to-use templates.  Users are able to select templates and add text, photos and videos creating stories within the app.
",Dan and Gloria Bohan Foundation,"Dorm Room Fund
30 Weeks
Blip clinic
Cardozo Law
Civic Hall
Center for Social Innovation
Parsons DESIS Lab
ERA
Google
Lower Manhattan HQ
The New Challenge
NYDesigns
Lawyers alliance of New York
XRC Labs",alexanrc@newschool.edu,http://sds.parsons.edu/elab/about/,Centers/Labs
Engage Media Lab,Media communications,"Engage Media Lab is a student group and research lab promoting civic engagement through participatory media projects.
Join us to co-develop workshops, screenings, research projects, seminars and community programs both within and outside The New School.
ENGAGE MEDIA LAB IS A JOINT INITIATIVE OF THE SCHOOL OF MEDIA STUDIES AND THE STUDLEY GRADUATE PROGRAM IN INTERNATIONAL AFFAIRS AT THE NEW SCHOOL IN NEW YORK CITY. 
","

79 5th Avenue, 16th floor

New York, NY 10001


Monday – Friday: 9AM – 6PM
Saturday: 10AM – 7PM
Sunday: Closed",School of Media Studies,"Nelesi Rodriguez
Peter Lucas
Nitin sawhney","Roles were unclear
Christina Puzzolo
Colin DeMatteis
Ella Colley
John Sapida 
Kelly Baker
Laura Nitz
Nelesi Rodriguez
Peter Lucas – Instructor 
Lívia Sá
Bianca Rogers
Nitin Sawhney – Instructor","Christina Puzzolo
Colin DeMatteis
Ella Colley
John Sapida 
Kelly Baker
Laura Nitz
Lívia Sá
Bianca Rogers
","EML offers opportunities for field work on participatory media / human rights and media.  For four years now we have been partnered with the Arab American Family Support Center in Brooklyn, an after school learning center where we’ve been running youth media workshops.  Fieldwork also includes the International Field study abroad programs.  

EML is a lab for student workshops.  The workshops have ranged from production and post production workshops, grant writing for documentary films, media packaging and audience engagement workshops.  

EML offers screenings and sponsored talks and conferences.  Over the past few years, EML has sponsored several media events here at the New School such as the Youth Media Summit and the participatory media event with the online platform, Beirut Syndrome.

EML is a space for faculty mentoring of students in classes related to social media, participatory media, documentary production, post production, and our classes related to media and human rights. 

Our screenings and workshops are open to the public, and New School students and faculty can also join us at our weekly meetings.

",,,"(212) 555-0123
eml@newschool.edu
TWITTER: @EngageMediaLab

FACEBOOK: https://www.facebook.com/engagemedialab/",http://www.engagemedialab.org/,Centers/Labs
Healthy Materials Lab,Environment,"We collaborate to enable transformative actions and change.
We are Healthy Materials Lab at Parsons School of Design, dedicated to a world in which people’s health is placed at the center of all design decisions.

We are committed to raising awareness about toxics in building products and to creating resources for the next generation of designers and architects to make healthier places for all people to live.",,Parsons School of Design ,"Faculty Researchers
Andy Bernheimer - Faculty Researcher
Catherine Murphy - Faculty Fellow
David Leven - Faculty Researcher
Helen Quinn - Faculty Researcher
Lucille Tenazas - Faculty Researcher","Alison Mears - Director
Jonsara Ruth - Director of Design
Phoenix Lindsey-Hall - Director, Donghia Healthier Materials Library
Abby Calhoun - Project Manager
Katie Sweatman - Administrator


Advisory Council to the Donghia Healthier Materials Library
Sydney Mainster - Sustainability Manager, The Durst Organization
Bill Walsh - Founder and President, Healthy Building Network
Martha Lewis - Senior Architect & Material Specialist, Henning Larsen Architects

Postgraduate Researchers
Jack Dinning - Full-Time Researcher
Gamar Markarian - Post Graduate Research Fellow
Lena Kouvela - Post Graduate Researcher
Thanos Stathopoulos - Post Graduate Researcher
Winnie Chang - Post Graduate Researcher","Student Researchers

Addie Kramer - Research Associate
Allison Sloan - Research Associate
Burak Sancakdar - Research Associate
Eve DeAngelis - Research Assistant
Anna Shen - Student Assistant
Anurag Jain - Student Assistant
Abdul Qadir Barbhaya - Student Assistant, 
Shayna Lewis - Student Assistant,
Natalie Spies - Research Assistant
Susannah Weaver - Research Assistant
Mikaela Dillon - Student Assistant
Alexandra Anez - Student Assistant","HAMP VISION   

The Healthy Affordable Materials Project seeks to improve the lives and health of affordable housing residents by reducing the use of toxic materials in building products. Through the use of healthier building products and furnishings, the built environment contributes to the improved health of all people, especially lowest income communities.  

The HAMP collaborative goal is to increase the adoption of healthier building protocols and practices within the affordable housing sector, leading to measurable increase in building product specifications that reflect healthier choices. 

This change will result in reduced exposure throughout the system by decreasing or eliminating known harmful chemicals from building products and furnishings widely used in affordable housing.

Our Goals
In the broadest sense, our goals are for healthier spaces and healthier lives. To achieve this, we strive to:

1. Improve today’s commonly used materials to reduce exposure to toxics and improve health.
2. Foster knowledge and awareness of today’s healthier material alternatives—make them more marketable, accessible, and popular.
3. Invent, test, and implement tomorrow’s healthy materials.
4. Work with manufacturers to promote transparency and drive innovation.
5. Create healthier homes for people living in poverty.",supported in part by a grant from The JPB Foundation.,"American Sustainable Business Council
Bernheimer Architecture
Building Product Ecosystems
Center for Environmental Health (CEH)
The City University of New York (CUNY)
Fashion Institute of Technology
First Community Housing (FCH)
Foundation Communities
Harvard Office for Sustainability
Henning Larsen Architects
Icahn School of Medicine (ICSM) at Mount Sinai
LTL Architects
MSR Design
New York City Housing Authority (NYCHA)
NYC Department of Health
NYC Mayor's Office of Contract Services
New York School of Interior Design
Sustainable Furnishings Council (SFC)
Trumbull Neighborhood Partnership (TNP)
Vidaris
West Harlem Group Assistance, Inc. (WHGA)","affordhealth@newschool.edu
IG: @healthymaterialslab 
TW: @parsons_HML
FB: @healthymaterialslab
",https://healthymaterialslab.org/,Centers/Labs
Heilbroner Center for Capitalism Studies,"Politics, Policy, and Society","The Robert L. Heilbroner Center for Capitalism Studies at the New School for Social Research brings together students and faculty from across The New School for interdisciplinary conversations around theoretical approaches to and analytic methods for the study of capitalisms. Affiliated faculty and students work in diverse and innovative fields including the history of capitalism, economic sociology, international political economy, heterodox economics, critical theory, economic anthropology, and science and technology studies.

The Robert L. Heilbroner Center for Capitalism Studies seek to develop a common language with which capitalism can be understood, analyzed, interpreted, and engaged — with rigor, with precision, and in a manner that is accessible to the broadest possible audience. Our graduate and undergraduate courses examine the basic logic of capitalism (as conceived by a range of theorists), its various historically contingent forms, and its ability to structure our political possibilities and creative endeavors. Our program supports diverse inquiries into the major structuring force in contemporary society, posing questions both timeless and pressing.

",,The New School for Social Research,#NAME?,"Julia Ott - Co-Director
William Millberg - Co-Director ","2017-2018 Graduate Student Fellows
- Ibrahim Shikaki -PhD in economics at NSSR
- Michael McHugh has worked as a full-time employee of The New School’s Lang College and studied as a part-time graduate student at The New School for Social Research
- Guillermina Altomonte - Ph.D. candidate in Sociology at The New School for Social Research
-Meredith Hall - Ph.D.candidate in sociology at The New School for Social Research
- Daniel Wagnon - candidate for PhD in Philosophy
- Amanda Zadorian - Ph.D. candidate in Politics at the New School for Social Research",,,,capitalismstudies@newschool.edu,http://blogs.newschool.edu/heilbroner-center/,Centers/Labs
Humanities Action Lab,Education,"We Are A Coalition

The Humanities Action Lab (HAL) is a coalition of universities, issue organizations, and 
public spaces in 20 cities that collaborate to produce community-curated public humanities projects on urgent social issues. Students and stakeholders in each city develop local chapters of national traveling exhibits, web projects, public programs, and other platforms for civic engagement.

About HAL
The Humanities Action Lab (HAL) is a coalition of universities, issue organizations, and public spaces in 20 cities, and growing, that collaborate to produce community-curated public humanities projects on urgent social issues. Students and stakeholders in each city develop local chapters of national traveling exhibits, web projects, public programs, and other platforms for civic engagement, all made possible by our visionary supporters. Projects travel nationally and internationally to museums, public libraries, cultural centers, and other spaces in each of the communities that helped create them. We always welcome new institutions to join our projects, so please get involved, or reach out if you have any questions. HAL aims to:  

​Foster new public dialogue on contested, deadlocked social issues, through public humanities projects that explore the diverse local histories and current realities of shared global concerns.
Open space for experimentation and innovation in how design and the humanities can help confront urgent social problems.
Combine and connect the diverse local perspectives of communities around the world, to create widely applicable and flexible models.
Create new public humanities prototypes that take on difficult issues and experiment with untested formats.",,several,,"Anna Alves
Administrative Manager
ama256@scarletmail.rutgers.edu

Piper Anderson
Director of Engagement Strategies
piper@create-forward.com

Aleia Brown
Program Manager

Shana Russell
Program Manager

Liz Ševčenko
Director
liz.sevcenko@rutgers.edu

Margie Weinstein
Associate Director
MargieWeinstein@newschool.edu",,"Two of the Current Projects

States of Incarceration
Host Institution: The New School

Guantánamo Public Memory Project
Host Institution: Columbia University

Initiative on Migration, Climate Justice, and Environmental Justice
Host Institution: Rutgers University-Newark
","Rutgers University
The New School
Open Society Foundations
The Andrew W. Mellon Foundation
Institute of Museum and library Services
Whiting Foundation
National Endowment for the Humanities","Arizona State University
Brown University
DePaul University
Duke University
Indiana University-Purdue University Indianapolis
Northeastern University
Parsons Paris
Rutgers University-Newark
Rutgers University-New Brunswick
Skidmore College
The New School
University of California, Riverside
University of Connecticut
University of Massachusetts Amherst
University of Miami 
University of Minnesota
University of New Orleans 
University of North Carolina at Greensboro
University of Texas at Austin
Vanderbilt University","humanitiesactionlab@newschool.edu
212-229-5800 x2085",https://www.humanitiesactionlab.org/,Centers/Labs
Institute for Critical Social Inquiry,Social Research and Design,"The Institute is designed to provide scholars with the opportunity to spend a week at the New School’s campus in Greenwich Village, working closely with some of the most distinguished thinkers shaping the course of contemporary social inquiry. The Institute is founded on the premise that responding to current and emergent problems requires developing our collective capacities to formulate new and better questions, rather than relying on the application of all too familiar ready-made theories. In the current landscape in which most of us work today, there is seldom the time or the opportunity for in-depth exploration of those modes of inquiry most relevant to our research agendas and developing projects. How often have we all wished we could steal the time from our current writing and teaching obligations to return to a thinker whose style of thinking and whose conceptual insights shaped us at earlier moments and would mean as much or more to know better today? Our themes are mobile and responsive, joining conceptual labor with pressing political concerns in our times, in an effort to understand and act upon better that which is emergent on our collective horizons.","6 E 16TH ST, 9TH FL. NEW YORK, NY, 10003",NEW SCHOOL FOR SOCIAL RESEARCH,"2018 FACULTY

- Richard J. Bernstein is Vera List Professor of Philosophy and former Dean of the New School for Social Research",#NAME?,,,,,TW : @ICSI_NewSchool,ICSI@NEWSCHOOL.EDU,Centers/Labs
Janey Program in Latin American Studies,International Affairs and Global Perspectives,"Ongoing struggles over social justice, equality, human rights, and political liberty in Latin America resonate deeply at The New School for Social Research, reflecting many of the same concerns that led to the founding of the University in Exile in 1933 and continue to inform and energize our work.
With generous support from Daniel and Susan Rothenberg, the Janey Program in Latin American Studies was launched in the 1991–1992 academic year. This program supports fellowships for students from Latin America and the Caribbean pursuing graduate studies at The New School, summer fellowships for fieldwork and research in Latin America and the Caribbean, an annual conference, lectures, and occasional visits to The New School by scholars from Latin America. The Janey Program is an important component of the global perspective of The New School for Social Research and of Latin American studies in The New School as a whole.","The New School for Social Research 
6 East 16th Street, 9th floor, room 933c 
New York, NY 10003 ",The New School for Social Research ,"Federico Finchelstein - Associate Professor of History
Christian Proaño - Assistant Professor, Department of Economics
Hugh Raffles - Professor of Anthropology
Louise Walker - Assistant Professor of History 

Affiliated Faculty
Nicholas Birns - Part-time Associate Teaching Professor
Juan E. De Castro - Associate Professor of Literature
Alexandra Delano - Assistant Professor in Global Studies
Christopher London - Assistance Professor, International Affairs
Elaine Savory - Associate Professor of Literature
Silvia Vega-Llona - Associate Teaching Professor
Eduardo Staszowski - Assistant Professor in the School of Design Strategies
Cynthia Lawson - Associate Professor in the School of Design Strategies","Carlos Forment - Director, Janey Program in Latin American Studies
Associate Professor of Sociology
Federico Finchelstein, Director 
Santiago Mandirola, Research Assistant  
Ricardo Isea, Research Assistant","Fabiola de Lachica, Program Assistant
Carlos Marín, Program Assistant
Santiago Mandirola, Research Assistant  
Ricardo Isea, Research Assistant",,,,"Telephone: 212.229.5905 
Fax: 212.229.5315 
Email: janeyprogram@newschool.edu

Mailing address: 
80 Fifth Avenue, 5th floor 
New York, NY 10011",http://blogs.newschool.edu/janey-program/,Centers/Labs
Lang Civic Engagement and Social Justice,"Eugene Lang 
College of Liberal Arts ","Lang’s Office of Civic Engagement and Social Justice (CESJ) is a hub that creates civic participation opportunities in which students can bridge their social justice passions and academic work and build community with others who are dedicated to leading social justice–centered lives. CESJ programs take the form of “learning communities,” composed of students, faculty, staff, and community partner organizations around New York City. Through our civic engagement programs, Lang students connect theoretical frameworks and the lived experience of working toward social justice and develop a practice of self-reflection. ","65 W 11th St, New York, NY 10011",,,"Christina Dawkins - Director, Civic Engagement and Social Justice 
dawkinsc@newschool.edu ",,"Current CESJ programs include:

The Jeff Gural Academic Achievement and Opportunity Scholars Program, a selective opportunity for students who demonstrate a significant commitment to civic participation and social justice before arriving at Lang. Over the four years of their Lang experience, Gural Scholars work closely in cohorts to develop community-based projects focused on social justice at the local, national, and international levels.
Year-Round Discretionary Funding (“Mini-Grants”) and Summer Internship Grants, which allocate financial resources to students’ professional learning, activist initiatives, creative projects, and other community-based activities that address themes and take action toward social justice.  ",,,"https://www.facebook.com/lang.civicengagement
https://www.instagram.com/langcesj/",https://www.newschool.edu/lang/civic-engagement-social-justice/,Centers/Labs
New School Social Innovation Initiative,,"a program incubator for diverse activities that advance, broaden, and deepen social innovation–related education at the university.

The New School has long been a center for social innovation. Social innovation as a field of theory and practice is designed to enhance the capacity of individuals, communities, and organizations to devise effective, just, and sustainable solutions to social and environmental problems.

Examples of social innovation are all around us. Microfinance ventures, hospices, fair trade organizations, passive houses, and rooftop gardens are just a few of the social innovations developed by nonprofits, public institutions, and businesses.

The Social Innovation Initiative was established in 2011 with support from the Provost's Office and the deans of the New School for Public Engagement, Parsons The New School for Design, and Eugene Lang College The New School for Liberal Arts. The Social Innovation Initiative offers opportunities for students and faculty from different colleges of The New School to participate in interdisciplinary learning, research, and practice that contributes to real-world problem solving. Through courses, workshops, conferences, and an innovation competition, we equip students to address contemporary environmental and social challenges in innovative ways, whatever their career paths may be.

Our partnerships with global organizations such as Ashoka U and Dell Social Innovation Challenge as well as with many local and national community, cultural, and civic partners strengthen our work and offer our students numerous opportunities beyond the walls of The New School.

The New School’s unique approach to social innovation education relies on collaboration between several schools:

",,"The Schools of Public Engagement
The Milano School of International Affairs, Management, and Urban Policy
Parsons School of Design
Eugene Lang College of Liberal Arts
",,,,"Partnerships
The New School has relationships with diverse global, national, and local organizations that provide opportunities for students and faculty to engage with the growing fields of social innovation and social entrepreneurship education and practice. Listed below are a few of our key partners.

Ashoka U Changemaker Campus Initiative
In 2009, The New School was selected to participate in the Ashoka U Changemaker Campus Initiative, a national consortium of universities. The Changemaker Campus Initiative aims to expand social entrepreneurship education across campuses and explore ways universities can become hubs for social innovation to develop solutions to diverse social and environmental challenges.

Dell Social Innovation Competition
Building the next generation of social entrepreneurs depends not just on world-class teaching and training, but also on supporting students with opportunities for strategic partnerships and start-up capital. With the goal of bringing visibility and public recognition to thousands of social entrepreneurs worldwide, The New School is partnering with Dell to participate in the annual Dell Social Innovation Competition, an international student competition that awards a $50,000 grand prize for the best idea.

Clinton Global Initiative University (CGI U)
Each year, CGI U hosts a conference where students, national youth organizations, topic experts, and celebrities discuss solutions to pressing global issues. To attend CGI U, students must develop a Commitment to Action, a specific plan of action that addresses a pressing need on campus, in the community, or in a different part of the world.",,,"The administrators of this site appreciate your feedback and information. Please email tnschangemakers@newschool.edu with any questions, comments, or concerns about building a more comprehensive information hub.",,Centers/Labs
Parsons Desis Lab,,"Parsons DESIS (Design for Social Innovation and Sustainability) Lab is an action research laboratory created in 2009 at The New School in New York City. DESIS Lab works at the intersection of strategic and service design, management, and social theory, applying interdisciplinary expertise in problem setting and problem solving to sustainable practices and social innovation.","6 East 16th Street, room 1207
New York City","THE NEW SCHOOL FOR SOCIAL RESEARCH
SCHOOLS OF PUBLIC ENGAGEMENT
","PRINCIPAL FACULTY
Eduardo Staszowski, PhD, Director
Lara Penin, PhD, Co-founder, Parsons DESIS Lab 
Associate Professor of Transdisciplinary Design 
Parsons School of Design

Nidhi Srinivas, PhD, Co-founder, Parsons DESIS Lab 
Associate Professor of Nonprofit Management 
Schools of Public Engagement                                                          

AFFILIATED FACULTY 
Mariana Amatullo, Associate Professor, Strategic Design and Management 
Patricia Beirne, Assistant Professor of Transdisciplinary Design 
Nadia Elrokhsy, Assistant Professor of Sustainable Design 
Elliott Montgomery, Assistant Professor of Strategic Design 
Timo Rissanen, Assistant Professor of Fashion Design and Sustainability 
Anke Gruendel, Part-Time Lecturer, School of Fashion 
Lee-Sean Huang, Part-Time Lecturer, School of Design Strategies 
David Colby Reed, Part-Time Lecturer, School of Design Strategies 
Andrew Shea, Assistant Professor of Integrated Design 
Ben Winter, Part-Time Lecturer, School of Design Strategies 
Michael Wolf, Part-Time Lecturer, School of Art, Media, and Technology ",,"Research and Teaching Assistants
2018–2019
Isabella Poeschl, MS Student in Strategic Design and Management 
Paula Aimi Kawakami, MFA Student in Transdisciplinary Design 
Macushla Robinson, PhD Student in Politics

2017–2018
Javiera Arenas, MFA Student in Transdisciplinary Design 
Corey Chao, MFA Student in Transdisciplinary Design 
Macushla Robinson, PhD Student in Politics

Visiting Scholars
2018
Camilla Buchanan, UK Government Inclusive Economy Unit and Lancaster University (UK) 
Chiara Del Gaudio, Unisinos University (Brazil)

2017
Sabrina Minqing Ni, Tongji University (China) 
Kakee Scott, Carnegie Mellon University","Vision
DESIS Lab members explore the relationship between design and social change. Our goal is to advance the practice and discourse of design-led social innovation to foster more equitable and sustainable cities and practices. In a complex world facing numerous systemic challenges, DESIS Lab members rethink assumptions about cultural and economic environments, bringing nuanced approaches drawn from integrated design practices to communities of all kinds. In the DESIS Lab, service design is considered an advanced approach, one integrating many design disciplines.

Foundations
Three foundations guide our research in design strategies:

Bridging structural holes: Social settings often suffer from severe information asymmetries. We seek to bridge information gaps and find ways of sharing needed information more effectively.
Valuing tacit knowledge: People in a social system rely on both explicit forms of knowledge and “tacit knowledge”—information individuals and communities develop and share through habits and customs. The use of participatory design methods reveals and codifies this subjective knowledge.
Nurturing heterarchies: Whereas researchers have focused on social hierarchies and structural asymmetries, little attention has been paid to heterarchies—the lateral forms of collaboration through which social life is constructed. We promote such interdependent networks as it generates more opportunities for heterogeneous forms of collaboration.
Local and Global
The lab works with local partners in New York City and with global partners through the DESIS Network, participating in large-scale research programs and projects to effect social change. The DESIS Network consists of more than 30 design labs based in universities around the world that orient their teaching and research activities towards social innovation and sustainability. DESIS processes and initiatives involve the following:

Collecting social innovation practices and generating greater visibility for them
Promoting collaborative projects and organizing academic events to explore these practices
Developing teaching tools and co-producing courses internationally to showcase these practices and their contextual variations
Carrying out comparative research programs to track these practices and their outcomes  AMPLIFYING CREATIVE COMMUNITIES IN NEW YORK CITY
Launched in 2009 with the support of the Rockefeller Foundation, this initiative investigates ways design can be used to amplify community-led approaches to sustainable living in New York City.

Visit the Amplifying Creative Communities website for more information.

PUBLIC & COLLABORATIVE
Launched in 2011 with the support of the Rockefeller Foundation, this multi-project initiative investigates the role design can play in building bridges between government and people, allowing for socially innovative methods of providing services for the public good.

Visit the Public & Collaborative website for more information.

DESIGNING FOR FINANCIAL EMPOWERMENT
Launched in 2014 with the support of Citi Community Development, Designing for Financial Empowerment is a cross-sector initiative to explore how service design can be used to make public sector financial empowerment services more effective and accessible. ",,,"Eduardo Staszowski, Director.
staszowe@newschool.edu",,Centers/Labs
PETLab,Education,"The Prototyping, Education and Technology Lab (PETLab) is dedicated to the design and use of games as a form of public interest and engagement. To do this, we emphasize iterative design methodologies and the processes of collaborative design. Through our work, we connect with scholars and designers in the field of digital media, practitioners working in the spheres of education and social issues, and people of all ages at play.","6 East 16th Street, Room 1201 
New York, NY 10003",,"Colleen Macklin, Co-Director- Associate Professor in the school of Art, Media and Technology at Parsons The New School for Design","Meagan Durlak, Research Assistant
James Frankis, Research Assistant
Kristen Kersh, Research Assistant
J. Matthew Griffis, Research Assistant
Colleen Macklin, Co-Director
Patrick Schlafer, Research Assistant
John Sharp, Co-Director","Meagan Durlak, Research Assistant  -  MFA in Transdisciplinary Design at Parsons the New School for Design
James Frankis, Research Assistant -  Transdisciplinary Design at Parsons.
Kristen Kersh, Research Assistant - MFA candidate in the Design and Technology
J. Matthew Griffis, Research Assistant - MFA in Design and Technology 
Colleen Macklin, Co-Director- Associate Professor in the school of Art, Media and Technology at Parsons The New School for Design 
Patrick Schlafer, Research Assistant - Transdisciplinary Design program
John Sharp, Co-Director",,"Support for PETLab has come from the AMD Foundation, the John D. and Catherine T. MacArthur Foundation’s Digital Media and Learning initiative, the National Endowment for the Arts, the Knight Foundation, The New School University and other generous funders.
","Partners
We have worked with a wide range of partners such as MTV, Microsoft, Boys and Girls Clubs of America, the National Academy of Public Administration, Radiolab, Public Radio International, Migration Policy Institute, Area/Code, the AMD Foundation, the American Red Cross, the Red Cross/Red Crescent Climate Centre, the New York Public Library and the Institute of Contemporary Art at the University of Pennsylvania.",petlab@parsons.edu,http://petlab.parsons.edu/about/,Centers/Labs
"The Graduate Institute for Design, Ethnography, and Social Thought (GIDEST)",Social Research and Design,"
Funded by a grant from the Andrew W. Mellon Foundation and based at The New School for Social Research, GIDEST incubates transdisciplinary ethnographic research at the intersection of social theory, art, and design and fosters dialogue on related themes across the university. GIDEST draws on The New School’s tradition of politically-engaged, historically-grounded, and theoretically-innovative social research, and our strengths as a center of design thinking and practice.
As well as our popular bi-weekly public seminar series with presenters drawn from the social sciences, arts, and design, we annually support five faculty fellows, five doctoral fellows, and an artist-in-residence, and provide members of the campus community with a lively and inventive research environment as well as a focused interdisciplinary space in which to develop their ideas. Through our lab at 63 Fifth Avenue, we serve as a university-wide hub for collaborative faculty research, interdisciplinary doctoral dissertations, and innovative scholarly practice that draws substantively on ethnographic methodologies and sensibilities. ","63 FIFTH AVENUE, NEW YORK, NY 10003",The New School for Social Research,,"Fellows
- Hugh Raffles - Director of GIDEST and Professor of Anthropology at The New School for Social Research and Eugene Lang College
- Margot Bouman - Assistant Professor of Visual Culture at Parsons School of Design
- Anthony Dunne - University Professor of Design and Social Inquiry at The New School 
- Tanya Kalmanovitch - Associate Professor at The New School’s College of Performing Arts
- Jacquelin Kataneksza - Ph.D. candidate in Public and Urban Policy at the Milano School of International Affairs, Management and Urban policy.
- Jason Lau is a Ph.D. candidate in Anthropology at The New School for Social Research
- Virag Molnar - Associate Professor of Sociology at The New School for Social Research
- Jeanine Oleson is an Assistant Professor of Photography at Parsons 
- Fiona Raby - University Professor of Design and Social Inquiry at The New School
- Manuela Badilla Rajevic - Ph.D.candidate in Sociology at the New School for Social Research
- Marisa Solomon - Ph.D. candidate in Anthropology at The New School for Social Research 
- Mia Charlene White - Assistant Professor of Environmental Studies at The New School
- Mine Yildirim - Ph.D. candidate in Politics at the New School for Social Research. 
- Soyoung Moon - Assistant Professor of Visual Studies at Eugene Lang College. 
- Haeun Kim - GIDEST Program Assistant and an M.A. candidate in Sociology at The New School for Social Research. ",,"The bi-weekly GIDEST seminar explores work-in-progress presented by prominent and emerging scholars and practitioners. The seminar is held on Fridays from 12-1.30pm in the GIDEST Lab at 411, 63 Fifth Avenue. Sessions are devoted to discussion of pre-circulated papers that can be downloaded in advance from our Seminar page. ",Andrew W. Mellon Foundation ,,GIDEST@newschool.edu ,http://www.gidest.org/,Centers/Labs
